filename,ground_truth_identity,age_group,gender,ethnicity,synthetic
synthetic_face_001.svg,demo-person-001,18-29,female,east_asian,true
synthetic_face_002.svg,demo-person-002,30-44,male,south_asian,true
synthetic_face_003.svg,demo-person-003,45-59,non_binary,black,true
synthetic_face_004.svg,demo-person-004,60+,female,white,true
synthetic_face_005.svg,demo-person-005,18-29,male,latino,true
synthetic_face_006.svg,demo-person-006,30-44,non_binary,mena,true
synthetic_face_007.svg,demo-person-007,45-59,female,east_asian,true
synthetic_face_008.svg,demo-person-008,60+,male,south_asian,true
synthetic_face_009.svg,demo-person-009,18-29,non_binary,black,true
synthetic_face_010.svg,demo-person-010,30-44,female,white,true
synthetic_face_011.svg,demo-person-011,45-59,male,latino,true
synthetic_face_012.svg,demo-person-012,60+,non_binary,mena,true
synthetic_face_013.svg,demo-person-013,18-29,female,east_asian,true
synthetic_face_014.svg,demo-person-014,30-44,male,south_asian,true
synthetic_face_015.svg,demo-person-015,45-59,non_binary,black,true
synthetic_face_016.svg,demo-person-016,60+,female,white,true
synthetic_face_017.svg,demo-person-017,18-29,male,latino,true
synthetic_face_018.svg,demo-person-018,30-44,non_binary,mena,true
synthetic_face_019.svg,demo-person-019,45-59,female,east_asian,true
synthetic_face_020.svg,demo-person-020,60+,male,south_asian,true
synthetic_face_021.svg,demo-person-021,18-29,non_binary,black,true
synthetic_face_022.svg,demo-person-022,30-44,female,white,true
synthetic_face_023.svg,demo-person-023,45-59,male,latino,true
synthetic_face_024.svg,demo-person-024,60+,non_binary,mena,true
synthetic_face_025.svg,demo-person-025,18-29,female,east_asian,true
synthetic_face_026.svg,demo-person-026,30-44,male,south_asian,true
synthetic_face_027.svg,demo-person-027,45-59,non_binary,black,true
synthetic_face_028.svg,demo-person-028,60+,female,white,true
synthetic_face_029.svg,demo-person-029,18-29,male,latino,true
synthetic_face_030.svg,demo-person-030,30-44,non_binary,mena,true
synthetic_face_031.svg,demo-person-031,45-59,female,east_asian,true
synthetic_face_032.svg,demo-person-032,60+,male,south_asian,true
synthetic_face_033.svg,demo-person-033,18-29,non_binary,black,true
synthetic_face_034.svg,demo-person-034,30-44,female,white,true
synthetic_face_035.svg,demo-person-035,45-59,male,latino,true
synthetic_face_036.svg,demo-person-036,60+,non_binary,mena,true
